,cmf,rsi,cci,willr,mfi,price_vel,obv_vel
cmf,1.0,0.5016557395284795,0.4546688364568673,0.4594046906682767,0.5659587690758846,0.4664350218605977,0.43427065093306333
rsi,0.5016557395284795,1.0,0.8253145566796907,0.8157018279948236,0.666403735487097,0.7424327055485144,0.5804425881760512
cci,0.45466883645686723,0.8253145566796906,1.0,0.8825835671391085,0.5993292981994505,0.6601043146625188,0.4961375345362899
willr,0.4594046906682767,0.8157018279948235,0.8825835671391085,1.0,0.5328532650254895,0.5935363885687741,0.45222417847865404
mfi,0.5659587690758846,0.666403735487097,0.5993292981994505,0.5328532650254895,1.0,0.63570097452396,0.6087221594652817
price_vel,0.4664350218605977,0.7424327055485144,0.6601043146625188,0.5935363885687741,0.6357009745239601,1.0,0.7132533412732643
obv_vel,0.43427065093306333,0.5804425881760512,0.4961375345362899,0.4522241784786541,0.6087221594652817,0.7132533412732643,1.0
