date,price,momentum_short_raw_rsi,momentum_short_position,momentum_short_velocity,momentum_short_acceleration,momentum_long_raw_rsi,momentum_long_position,momentum_long_velocity,momentum_long_acceleration,momentum_contrast_raw_short_minus_long,momentum_contrast_position_short_minus_long,momentum_contrast_velocity_short_minus_long,momentum_contrast_acceleration_short_minus_long
2012-02-13,0.02865612648221344,0.12549407114624506,0.21640316205533597,0.2648221343873518,0.38241106719367585,0.16996047430830039,,,,-0.06818181818181818,0.21640316205533597,0.2648221343873518,0.38241106719367585
2012-02-14,0.03952569169960475,0.13932806324110672,0.2005928853754941,0.21047430830039524,0.27964426877470355,0.10968379446640317,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957,0.04743083003952569,0.23616600790513834,0.19466403162055337,0.2737154150197629
2012-02-15,-0.06620553359683795,0.04743083003952569,0.10375494071146245,-0.01383399209486166,0.24308300395256918,0.17588932806324112,-0.09387351778656126,-0.2509881422924901,-0.0899209486166008,0.02964426877470356,0.15612648221343872,0.008893280632411068,0.2608695652173913
2012-02-16,0.09288537549407114,0.11561264822134389,0.1373517786561265,0.048418972332015815,0.36462450592885376,0.20454545454545459,-0.001976284584980237,-0.12252964426877472,0.022727272727272724,-0.0009881422924901185,0.17391304347826086,0.07411067193675888,0.34584980237154156
2012-02-17,0.04743083003952569,0.0909090909090909,0.15019762845849804,0.06818181818181818,0.24308300395256918,0.0,0.017786561264822136,-0.017786561264822136,0.04644268774703557,0.0800395256916996,0.2766798418972332,0.10177865612648221,0.3053359683794466
2012-02-21,-0.08794466403162056,0.13438735177865613,0.10177865612648221,0.1600790513833992,0.23616600790513834,0.10770750988142294,-0.2707509881422925,-0.19367588932806326,-0.17588932806324112,0.08201581027667984,0.19071146245059292,0.2015810276679842,0.30632411067193677
2012-02-22,-0.009881422924901188,0.15711462450592886,-0.07015810276679843,0.08399209486166008,-0.03853754940711463,0.1057312252964427,-0.016798418972332016,-0.06620553359683795,-0.044466403162055336,-0.05237154150197629,-0.02075098814229249,0.10375494071146245,-0.017786561264822136
2012-02-23,0.3112648221343874,0.3043478260869565,0.06620553359683795,0.09683794466403163,0.191699604743083,0.1956521739130435,-0.1442687747035573,-0.11264822134387352,-0.14624505928853757,0.021739130434782608,0.13438735177865613,0.16996047430830039,0.2114624505928854
2012-02-24,0.38636363636363635,0.06225296442687748,-0.026679841897233204,0.025691699604743084,0.12154150197628459,-0.05039525691699605,-0.1660079051383399,-0.10671936758893281,-0.1314229249011858,-0.08893280632411067,0.012845849802371542,-0.019762845849802375,0.0958498023715415
2012-02-27,0.34584980237154156,0.1956521739130435,0.22134387351778656,0.15513833992094864,0.29545454545454547,0.015810276679841896,-0.0909090909090909,-0.12944664031620554,-0.1324110671936759,0.1314229249011858,0.22628458498023715,0.1373517786561265,0.34782608695652173
