feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
price,-0.020614639855355266,0.1939866630872397,-0.1062683358086553,3603,360.3,-2.0171398558735265,0.044424189906319134
momentum_long_velocity,-0.00977161437030417,0.21824898542454346,-0.044772782568936936,3602,360.2,-0.8497397611264887,0.3960357880918035
momentum_long_position,-0.009108416493574766,0.22055372454827016,-0.04129794911525653,3602,360.2,-0.7837911204687762,0.4336792032340717
momentum_short_raw_rsi,-0.003652219138835719,0.22291059008862296,-0.016384233415665445,3603,360.3,-0.31099847362041616,0.7559821298853597
momentum_long_acceleration,0.0035376371379441203,0.21644050803687453,0.016344616680263106,3602,360.2,0.3102034288846426,0.7565861634952031
momentum_short_velocity,-0.002906728598289612,0.21448771620093587,-0.013551958358149227,3603,360.3,-0.2572374463319176,0.7971427285386594
momentum_contrast_acceleration_short_minus_long,-0.002642088605936743,0.20875316018512516,-0.012656520282584956,3603,360.3,-0.24024062581202504,0.8102807292755476
momentum_short_position,-0.002729513208017676,0.21853609982568187,-0.012489987742047685,3603,360.3,-0.23707957673506902,0.8127301709102435
momentum_contrast_velocity_short_minus_long,0.00191134073537162,0.2083747804845036,0.009172610672594145,3603,360.3,0.17411055164555933,0.861876638190501
momentum_short_acceleration,0.0015224147038283675,0.2116728596717581,0.007192299977376323,3603,360.3,0.1365211455450534,0.8914857706530315
momentum_contrast_position_short_minus_long,-0.0013812347695376737,0.20791546522172366,-0.006643251708403257,3603,360.3,-0.12609934738931589,0.8997238152007776
momentum_long_raw_rsi,0.0014561427923399297,0.22144812576981074,0.0065755480534233565,3603,360.3,0.12481422572246144,0.9007404264042767
momentum_contrast_raw_short_minus_long,-0.0011194827404673179,0.2108152690233231,-0.005310254544909014,3603,360.3,-0.10079696840888212,0.9197678548366321
