panel,sigma2,lam_plus,n_signal,top_eig,top_eig_share,mean_corr
raw,0.3712320469785645,1.0037338419211865,107,152.84478520359926,0.2681487459949964,0.24624803464773662
minus_pc1,0.542441532899131,1.466648497256221,87,36.937822793745966,0.06480319788389445,-0.0011309574680005046
minus_pc2,0.5909942535242542,1.5979249029583258,80,26.598491517808206,0.04666402020677439,-0.0013299681074700224
minus_pc3,0.6191270412237675,1.6739900792043199,78,20.951765427523547,0.03675748320625517,-0.0013317611516879375
null_raw,0.9999999999113564,2.7037909307710413,0,2.677010963640681,0.004696510462943827,6.549963428545183e-05
null_minus_pc1,0.9999999999979999,2.7037909310053077,0,2.6480858924899957,0.004645764723675951,7.17590723620387e-05
