variant,causal,horizon,split,n_features,mean_abs_ic,mean_abs_icir,top5_mean_abs_icir,n_sig_t2,best_feature,best_icir,n_signal,lam_plus,top_eig_share
kalman+none,True,5,train,62,0.014467924592353082,0.039864823897407496,0.0928589236320215,1,volume__cmf_20_vel4_8,-0.12587709178682246,7,1.3582,0.3102
raw+zca,True,5,train,62,0.01112380052079614,0.0319885664923898,0.09134064732912642,0,volume__cmf_20_ema4,-0.1071164612878521,6,1.3582,0.0452
raw+none,True,5,train,62,0.013271074197442563,0.03651144682909136,0.0905810032298342,1,volume__cmf_20_vel4_8,-0.12587709178682246,7,1.3582,0.3048
demean,True,5,train,62,0.013271074197442563,0.03651144682909136,0.0905810032298342,1,volume__cmf_20_vel4_8,-0.12587709178682246,7,1.3582,0.2967
signal+demean,True,5,train,62,0.014362497587361436,0.03917910119963422,0.08472535035533903,0,candle__body_log,-0.09158366548849305,7,1.3582,0.3617
raw+hpca,True,5,train,21,0.014243071130545631,0.040103270703371864,0.07819567894735874,0,hpc2_pc4,-0.09408954597860314,3,1.2018,0.0885
raw+zca,True,21,train,62,0.018243278005587005,0.05332142330025163,0.1566885267834608,0,trend__rel104,0.19679269695733262,6,1.3582,0.0452
kalman+none,True,21,train,62,0.017652318161656022,0.04934315365793395,0.14029095853712856,0,volatility__bb_bandwidth,0.15476045487914622,7,1.3582,0.3102
raw+none,True,21,train,62,0.016479476530197525,0.045776812908632815,0.1283077418165434,0,volatility__bb_bandwidth,0.15476045487914622,7,1.3582,0.3048
demean,True,21,train,62,0.016479476530197525,0.045776812908632815,0.1283077418165434,0,volatility__bb_bandwidth,0.15476045487914622,7,1.3582,0.2967
raw+hpca,True,21,train,21,0.021051810525494735,0.06052089336877779,0.11761742955125376,0,hpc2_pc14,0.15554917017375647,3,1.2018,0.0885
signal+demean,True,21,train,62,0.01631911275374773,0.044045794379224575,0.08758695774386768,0,volatility__bb_bandwidth,0.09331624944658223,7,1.3582,0.3617
raw+zca,True,5,val,62,0.03439541342767148,0.10116772877446267,0.29870601401993546,3,volume__obv_zvel12_26,0.4033255202916906,6,1.3582,0.0452
raw+none,True,5,val,62,0.02982622000746338,0.08029483736549457,0.22265074269297375,1,volume__obv_zvel12_26,0.32950175233122575,7,1.3582,0.3048
kalman+none,True,5,val,62,0.030533445049574084,0.08199503300130426,0.22265074269297375,1,volume__obv_zvel12_26,0.32950175233122575,7,1.3582,0.3102
demean,True,5,val,62,0.02982622000746338,0.08029483736549457,0.22265074269297375,1,volume__obv_zvel12_26,0.32950175233122575,7,1.3582,0.2967
raw+hpca,True,5,val,21,0.03191094619666049,0.09023285049802601,0.19583677390433957,0,hpc2_pc12,0.24611694430069284,3,1.2018,0.0885
signal+demean,True,5,val,62,0.026418563515337713,0.06866567346393192,0.14926079507353612,0,volume__obv_zvel12_26,0.17132473840452453,7,1.3582,0.3617
signal+demean,True,21,val,62,0.08223246287762417,0.25242553351815855,0.532418859012983,0,momentum__rsi_long_velocity,0.5738374379341478,7,1.3582,0.3617
raw+none,True,21,val,62,0.07576573708432709,0.23260685564004238,0.5281108610734855,1,momentum__rsi_long_velocity,0.6317947245780063,7,1.3582,0.3048
demean,True,21,val,62,0.07576573708432709,0.23260685564004238,0.5281108610734855,1,momentum__rsi_long_velocity,0.6317947245780063,7,1.3582,0.2967
kalman+none,True,21,val,62,0.07762028891061148,0.23779043097682762,0.5276048702778534,1,momentum__rsi_long_velocity,0.6317947245780063,7,1.3582,0.3102
raw+zca,True,21,val,62,0.05163772905708389,0.1555443698779539,0.3891337381243323,0,trend__vel52_104,-0.4411610563819521,6,1.3582,0.0452
raw+hpca,True,21,val,21,0.05550516502897455,0.16129885100688193,0.3253079643927928,0,hpc2_pc1,0.3542159544043165,3,1.2018,0.0885
