horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
1,trend__velocity_52/104,0.01954670182816008,0.3967528015370923,0.049266701463562726,2551,2551.0,2.4883342388589247,0.012897685710651323
1,trend__plus_di,-0.01422258650796479,0.360408271629357,-0.039462430880585514,2551,2551.0,-1.9931457757810207,0.046351875894765866
1,trend__rel_104,0.014831973201240153,0.38489455951244445,0.03853515939541516,2551,2551.0,1.9463116806067484,0.0517270087923505
1,momentum__mfi_short_velocity,-0.013089341078364992,0.35996860238332207,-0.03636245214638598,2551,2551.0,-1.8365738317520848,0.06638916959874953
1,candle__gap_log,-0.011585474501977833,0.3669867896678872,-0.03156918676136098,2551,2551.0,-1.5944783388700148,0.11095286423044096
1,momentum__mfi_short_raw,-0.010612593991661024,0.3626639192731708,-0.029262888938414788,2551,2551.0,-1.4779931740962535,0.13953310403086713
1,candle__skew_log,0.010480738391361677,0.36209264021067006,0.02894490864344509,2551,2551.0,1.4619328081340477,0.14388284356629896
1,momentum__cmf_long_acceleration,0.0100958625850825,0.35244042705310885,0.028645586062580632,2551,2551.0,1.4468147952713535,0.14807171106265787
1,volume__obv_zvel12_26,-0.009825024054737891,0.3528108472279843,-0.027847851425013073,2551,2551.0,-1.4065232727375954,0.15969065057682327
1,candle__range_log,-0.01130038131214141,0.40657819384477545,-0.027793869625127265,2551,2551.0,-1.40379679101788,0.16050113804055358
1,volatility__vol_rs20,-0.011710202772531273,0.4227125418668798,-0.027702520300944933,2551,2551.0,-1.399182971859972,0.16187974500026375
1,volatility__vol_park20,-0.01169594811303945,0.4234663972770731,-0.027619542396387167,2551,2551.0,-1.3949919715525418,0.1631397488650516
1,volatility__vol_rs7,-0.0115640925127401,0.4197054008115069,-0.027552879925730637,2551,2551.0,-1.39162502180243,0.16415735482693664
1,volatility__atr_norm,-0.010712376608103775,0.42533881165612625,-0.025185514029141577,2551,2551.0,-1.2720554658672452,0.20346940251313278
1,volume__obv_zvel26_52,-0.008805815901072662,0.35364415312849184,-0.024900216285700015,2551,2551.0,-1.2576458114315838,0.20863503677098025
1,momentum__mfi_short_acceleration,-0.008645450981789673,0.3539983380833523,-0.024422292569503585,2551,2551.0,-1.233507115086065,0.21750030888095087
1,candle__body_size,-0.00806457360749795,0.3421345051734287,-0.023571354205884614,2551,2551.0,-1.1905284093385795,0.23394958603035995
1,volatility__vol20,-0.0098321513844838,0.41952388846823196,-0.023436451784385883,2551,2551.0,-1.1837148353758793,0.23663629686625803
1,volatility__vol_rs100,-0.00971098677880332,0.423352292496739,-0.022938311545527112,2551,2551.0,-1.1585550545242547,0.24674608546608232
1,volatility__vol_park100,-0.009326110972524147,0.4264756965733961,-0.021867860343406768,2551,2551.0,-1.1044893205064465,0.2694851394826997
1,volatility__vol100,-0.009443711913331671,0.4341285284994318,-0.021753262670789975,2551,2551.0,-1.098701287129038,0.2720021044987965
1,momentum__cci_short_raw,-0.007893517693596093,0.36582078935496487,-0.021577553609007222,2551,2551.0,-1.0898266748346637,0.2758924768401669
1,trend__acceleration_26/52,-0.008128719575211146,0.3800751924758437,-0.021387135325144326,2551,2551.0,-1.080209137606375,0.28015121387447744
1,volatility__vol7,-0.008698905954884005,0.41091686995783866,-0.021169503106009104,2551,2551.0,-1.0692170945780115,0.28507305774098124
1,volume__price_zvel12_26,-0.007469441573714405,0.36572137745744604,-0.020423858254180183,2551,2551.0,-1.0315564930009595,0.3023777564714289
1,trend__velocity_26/52,0.007754534763550836,0.3852433532758248,0.020128925515812284,2551,2551.0,1.0166601997797857,0.30941155383818103
1,volume__price_zvel26_52,-0.007312640319304373,0.36406442678328227,-0.02008611603148305,2551,2551.0,-1.0144980029523178,0.31044142837270505
1,momentum__mfi_long_velocity,-0.0069634011617547495,0.3548043885837635,-0.019626028836762274,2551,2551.0,-0.9912601833809997,0.3216525983388943
1,volume__ad_zvel12_26,-0.006803036242471758,0.34753853209236246,-0.019574912173087534,2551,2551.0,-0.9886784123141431,0.32291430920926384
1,volatility__vol_park7,-0.008121592245465235,0.42012340857499053,-0.019331444236855847,2551,2551.0,-0.9763814737371269,0.3289680735077525
1,candle__body_log,-0.007241367021845267,0.37498224058387974,-0.01931122660787837,2551,2551.0,-0.9753603333538924,0.3294740681581031
1,trend__rel_52,0.006820854566836534,0.38072715428680304,0.017915335142337552,2551,2551.0,0.904857449575381,0.36562639165050276
1,momentum__cmf_long_raw,0.005872919710630411,0.3496733367878863,0.01679544618580099,2551,2551.0,0.848294741874503,0.39635346433444407
1,trend__acceleration_12/26,-0.005979829656819072,0.37334543943386866,-0.01601688148618269,2551,2551.0,-0.8089714435477423,0.4186070428370655
1,volume__ad_zvel26_52,-0.0053169879904493775,0.3517399571237265,-0.01511624676914115,2551,2551.0,-0.7634827029472179,0.445246203129359
1,volatility__bb_bandwidth,-0.005648408823634226,0.4119700703211755,-0.01371072616811866,2551,2551.0,-0.692493476328657,0.4886905364005802
1,trend__minus_di,0.004892911870567692,0.3574054410323651,0.013690087807377871,2551,2551.0,0.6914510858673591,0.4893450538444343
1,momentum__cmf_short_velocity,-0.00469334663768219,0.3457888932189074,-0.013572866942001487,2551,2551.0,-0.6855305617778693,0.49307149661050437
1,momentum__cci_short_velocity,-0.004671964648444462,0.361559185690291,-0.012921714710482929,2551,2551.0,-0.6526425391527829,0.514045583890156
1,momentum__rsi_short_raw,0.004622073340223085,0.36846304564199833,0.01254419783717993,2551,2551.0,0.6335751339139406,0.5264149540169566
1,trend__acceleration_52/104,-0.004639891664587862,0.38152019076618815,-0.012161588762235092,2551,2551.0,-0.6142505346815866,0.5391045809884247
1,trend__rel_12,-0.004415380777591675,0.37700597178698275,-0.011711699835053194,2551,2551.0,-0.5915278033451243,0.5542192651817034
1,momentum__rsi_short_acceleration,-0.004162360571611848,0.35991136757620473,-0.011564960005689576,2551,2551.0,-0.5841163523901652,0.5591937007000853
1,momentum__cci_short_acceleration,-0.00421225187983322,0.3651047147031205,-0.011537106233367463,2551,2551.0,-0.5827095300681602,0.5601403783208152
1,momentum__rsi_long_acceleration,0.003980613663091123,0.351731412146668,0.011317196945239718,2551,2551.0,0.5716024781479891,0.5676416940493456
1,trend__velocity_12/26,0.004190869890595491,0.37867597073772913,0.011067166164335488,2551,2551.0,0.558974067184597,0.576228502660025
1,momentum__willr_long_raw,0.0036705748191440115,0.3685303525769275,0.009960033938799684,2551,2551.0,0.503055669120494,0.6149685793964692
