cluster,feature
1,volatility__vol7
1,volatility__vol_park7
1,volatility__vol_rs7
1,volatility__vol20
1,volatility__vol_park20
1,volatility__vol_rs20
1,volatility__vol100
1,volatility__vol_park100
1,volatility__vol_rs100
1,volatility__bb_bandwidth
1,volatility__atr_norm
1,candle__range_log
2,trend__adx
3,candle__gap_log
4,candle__body_size
5,trend__minus_di
6,momentum__rsi_short_position
6,momentum__rsi_short_velocity
6,momentum__rsi_short_acceleration
6,momentum__rsi_long_acceleration
6,momentum__rsi_contrast_raw_short_minus_long
6,momentum__rsi_contrast_position_short_minus_long
6,momentum__rsi_contrast_velocity_short_minus_long
6,momentum__rsi_contrast_acceleration_short_minus_long
6,trend__acc6_12
6,trend__acc12_26
6,volume__mfi_20_vel4_8
6,volume__cmf_20_vel4_8
6,volume__cmf_20_vel8_16
7,momentum__rsi_short_raw
7,momentum__rsi_long_raw
7,momentum__rsi_long_position
7,momentum__rsi_long_velocity
7,trend__rel6
7,trend__rel104
7,trend__rel12
7,trend__rel52
7,trend__rel26
7,trend__vel6_12
7,trend__vel12_26
7,trend__vel26_52
7,trend__vel52_104
7,trend__acc26_52
7,trend__acc52_104
7,trend__plus_di
7,volume__price_zvel12_26
7,volume__obv_zvel12_26
7,volume__ad_zvel12_26
7,volume__price_zvel26_52
7,volume__obv_zvel26_52
7,volume__ad_zvel26_52
7,volume__mfi_20_raw
7,volume__cmf_20_raw
7,volume__mfi_20_ema4
7,volume__mfi_20_ema8
7,volume__mfi_20_ema16
7,volume__cmf_20_ema4
7,volume__cmf_20_ema8
7,volume__cmf_20_ema16
7,volume__mfi_20_vel8_16
8,candle__body_log
9,candle__skew_log
