cluster,feature
1,trend__adx
1,trend__minus_di
1,volatility__vol7
1,volatility__vol_park7
1,volatility__vol_rs7
1,volatility__vol20
1,volatility__vol_park20
1,volatility__vol_rs20
1,volatility__vol100
1,volatility__vol_park100
1,volatility__vol_rs100
1,volatility__bb_bandwidth
1,volatility__atr_norm
1,candle__body_size
1,candle__range_log
2,momentum__rsi_short_raw
2,momentum__rsi_short_position
2,momentum__rsi_short_velocity
2,momentum__rsi_short_acceleration
2,momentum__rsi_long_raw
2,momentum__rsi_long_position
2,momentum__rsi_long_velocity
2,momentum__rsi_long_acceleration
2,momentum__rsi_contrast_raw_short_minus_long
2,momentum__rsi_contrast_position_short_minus_long
2,momentum__rsi_contrast_velocity_short_minus_long
2,momentum__rsi_contrast_acceleration_short_minus_long
2,trend__rel6
2,trend__rel104
2,trend__rel12
2,trend__rel52
2,trend__rel26
2,trend__vel6_12
2,trend__vel12_26
2,trend__vel26_52
2,trend__vel52_104
2,trend__acc6_12
2,trend__acc12_26
2,trend__acc26_52
2,trend__acc52_104
2,trend__plus_di
2,volume__price_zvel12_26
2,volume__obv_zvel12_26
2,volume__ad_zvel12_26
2,volume__price_zvel26_52
2,volume__obv_zvel26_52
2,volume__ad_zvel26_52
2,volume__mfi_20_raw
2,volume__cmf_20_raw
2,volume__mfi_20_ema4
2,volume__mfi_20_ema8
2,volume__mfi_20_ema16
2,volume__cmf_20_ema4
2,volume__cmf_20_ema8
2,volume__cmf_20_ema16
2,volume__mfi_20_vel4_8
2,volume__mfi_20_vel8_16
2,volume__cmf_20_vel4_8
2,volume__cmf_20_vel8_16
2,candle__body_log
2,candle__skew_log
2,candle__gap_log
