panel,cross_sector_mean_corr,null_mean,null_std,p_two_sided,n_signal,top_eig,mean_corr_all
raw,0.22444364722384796,-9.756765245726722e-06,0.00022306566917112522,0.009900990099009901,55,51.71734469180822,0.23600944958752104
minus_global_pc1,-0.0162699485191993,-1.7579388003724116e-05,0.00021868939072596218,0.009900990099009901,40,12.961811419999947,-0.004322790695410074
minus_sector_pc1,2.6378898241473688e-05,3.6990195270964714e-06,0.00021591119990284328,0.9405940594059405,41,8.190134933429285,-0.004897181939808276
