cluster,feature
1,momentum__rsi_short_velocity
1,momentum__rsi_short_acceleration
1,momentum__rsi_long_acceleration
1,momentum__cci_short_velocity
1,momentum__cci_short_acceleration
1,momentum__cci_long_velocity
1,momentum__cci_long_acceleration
1,momentum__willr_short_velocity
1,momentum__willr_short_acceleration
1,momentum__willr_long_velocity
1,momentum__willr_long_acceleration
1,momentum__mfi_short_velocity
1,momentum__mfi_short_acceleration
1,momentum__mfi_long_acceleration
1,momentum__cmf_short_velocity
1,momentum__cmf_short_acceleration
1,momentum__cmf_long_acceleration
1,momentum__stochastic_short_velocity
1,momentum__stochastic_short_acceleration
1,momentum__stochastic_long_velocity
1,momentum__stochastic_long_acceleration
1,trend__acceleration_12/26
2,momentum__rsi_short_raw
2,momentum__rsi_long_raw
2,momentum__rsi_long_velocity
2,momentum__cci_short_raw
2,momentum__cci_long_raw
2,momentum__willr_short_raw
2,momentum__willr_long_raw
2,momentum__mfi_short_raw
2,momentum__mfi_long_raw
2,momentum__mfi_long_velocity
2,momentum__cmf_short_raw
2,momentum__cmf_long_raw
2,momentum__cmf_long_velocity
2,momentum__stochastic_short_raw
2,momentum__stochastic_long_raw
2,trend__velocity_12/26
2,trend__velocity_26/52
2,trend__acceleration_26/52
2,trend__velocity_52/104
2,trend__acceleration_52/104
2,trend__rel_12
2,trend__rel_26
2,trend__rel_52
2,trend__rel_104
2,trend__plus_di
2,volume__price_zvel12_26
2,volume__obv_zvel12_26
2,volume__ad_zvel12_26
2,volume__price_zvel26_52
2,volume__obv_zvel26_52
2,volume__ad_zvel26_52
3,candle__body_log
4,volatility__vol7
4,volatility__vol_park7
4,volatility__vol_rs7
4,volatility__vol20
4,volatility__vol_park20
4,volatility__vol_rs20
4,volatility__vol100
4,volatility__vol_park100
4,volatility__vol_rs100
4,volatility__bb_bandwidth
4,volatility__atr_norm
4,candle__range_log
5,trend__adx
6,trend__minus_di
7,candle__body_size
8,candle__gap_log
9,candle__skew_log
