variant,causal,horizon,split,n_features,mean_abs_ic,mean_abs_icir,top5_mean_abs_icir,n_sig_t2,best_feature,best_icir,n_signal,lam_plus,top_eig_share
ssa+none,False,1,train,62,0.06774778224075607,0.4910113416152086,1.2622483475359016,60,trend__acc6_12,1.5227172514357097,6,1.3582,0.3143
ssa+hpca,False,1,train,23,0.04911525381356492,0.3883294888216026,0.9605666612429469,21,hpc1_pc4,1.2816727751856143,7,1.2116,0.1143
ssa+zca,False,1,train,62,0.024728150549094836,0.2183348532102263,0.8954603366469523,50,trend__acc6_12,1.1455049865126223,0,1.3582,0.0161
ssa+pca,False,1,train,15,0.0451592043118675,0.37748771831494216,0.708385014947126,15,pc13,0.7830796826932681,0,1.1693,0.0667
raw+none,True,1,train,62,0.00671092871527116,0.0429389846835455,0.10783297387898343,30,candle__skew_log,0.17188937604403137,7,1.3582,0.2998
demean,True,1,train,62,0.00671092871527116,0.0429389846835455,0.10783297387898343,30,candle__skew_log,0.17188937604403137,7,1.3582,0.2899
volnorm_cs,True,1,train,62,0.00671092871527116,0.0429389846835455,0.10783297387898343,30,candle__skew_log,0.17188937604403137,7,1.3582,0.3008
raw+hpca,True,1,train,21,0.005682616566892772,0.04440206238567262,0.1045282923474112,8,hpc2_pc9,0.17976546959673367,3,1.2018,0.0878
demean+hpca,True,1,train,22,0.005935194974678324,0.0458071695863107,0.10200774595411852,9,hpc1_pc9,-0.16008057833875167,2,1.2067,0.0833
demean+zca,True,1,train,62,0.0034551380963132416,0.02872475383629204,0.10039570670162538,15,candle__skew_log,0.1813809498369078,6,1.3582,0.0454
raw+zca,True,1,train,62,0.0033511149257632886,0.028295019953712457,0.09679225791837728,13,candle__skew_log,0.176458756963912,6,1.3582,0.0453
raw+pca,True,1,train,20,0.005510780873825801,0.04421109820659802,0.09521643289853166,10,pc14,0.15349451763594396,0,1.1967,0.05
signal+demean,True,1,train,62,0.007182243622415155,0.04361160393825898,0.0918584320687967,33,candle__body_log,-0.10191040674430188,7,1.3582,0.3567
kalman+none,True,1,train,62,0.00612423170497766,0.03826572142201996,0.07820749837196879,28,trend__rel6,-0.09138379684185245,8,1.3582,0.3038
kalman+zca,True,1,train,62,0.003238969758871883,0.02802471728013274,0.07511384714005112,14,trend__rel6,-0.10984455794724907,6,1.3582,0.0453
signal+demean+hpca,True,1,train,19,0.005908849905159212,0.0412143504125552,0.07247650112436198,10,hpc4_pc1,-0.0989118957033561,6,1.1915,0.3
kalman+hpca,True,1,train,21,0.004806628789175253,0.03758577337733188,0.07099270921576503,7,hpc1_pc6,0.08730073191764819,4,1.2018,0.088
kalman+pca,True,1,train,16,0.004056312753621982,0.030102722652465455,0.06465170085513836,5,pc7,-0.09195529750205725,0,1.1751,0.0625
ssa+none,False,5,train,62,0.10163803872713996,0.7573742583680863,2.329797954505593,50,trend__rel6,3.1226561946533855,6,1.3582,0.3143
ssa+zca,False,5,train,62,0.05155014347632798,0.4303187086895773,1.8612322044558112,44,trend__rel6,3.160097536640292,0,1.3582,0.0161
ssa+hpca,False,5,train,23,0.08717217504202211,0.6992083182494575,1.69616871931715,18,hpc1_pc4,2.2446838520875425,7,1.2116,0.1143
ssa+pca,False,5,train,15,0.08137562297236886,0.6957870384528487,1.3187161469143271,15,pc13,1.5355615887201834,0,1.1693,0.0667
signal+demean,True,5,train,62,0.009057483117287322,0.05995473614251214,0.11141395682825261,6,candle__body_log,-0.12214930197584399,7,1.3582,0.3567
raw+none,True,5,train,62,0.008153783672087125,0.05676474101255788,0.1074782791266875,5,volume__ad_zvel12_26,-0.12385583696876472,7,1.3582,0.2998
demean,True,5,train,62,0.008153783672087125,0.05676474101255788,0.1074782791266875,5,volume__ad_zvel12_26,-0.12385583696876472,7,1.3582,0.2899
volnorm_cs,True,5,train,62,0.008153783672087125,0.05676474101255788,0.1074782791266875,5,volume__ad_zvel12_26,-0.12385583696876472,7,1.3582,0.3008
raw+hpca,True,5,train,21,0.005663528400651405,0.045368470707878236,0.1047275478947651,3,hpc2_pc9,0.15556314978493113,3,1.2018,0.0878
demean+hpca,True,5,train,22,0.005650319373874473,0.04467751666772062,0.1044726744598139,3,hpc1_pc9,-0.15024028508102472,2,1.2067,0.0833
kalman+none,True,5,train,62,0.007827303462037518,0.05377868706932201,0.10271319517962522,4,volume__ad_zvel12_26,-0.12385583696876472,8,1.3582,0.3038
demean+zca,True,5,train,62,0.004251480358519127,0.03705975252349324,0.09899311955331133,3,candle__skew_log,0.11461482802466431,6,1.3582,0.0454
raw+zca,True,5,train,62,0.0041875468191856285,0.03696018538376517,0.09709109929959746,3,trend__acc52_104,-0.11543871323104803,6,1.3582,0.0453
signal+demean+hpca,True,5,train,19,0.006921020066182404,0.05069452716039719,0.09052665372776099,2,hpc1_pc1,-0.1037481373726563,6,1.1915,0.3
kalman+zca,True,5,train,62,0.004137512855545397,0.03664527895601154,0.08912350481248402,2,trend__acc52_104,-0.11421185665968356,6,1.3582,0.0453
kalman+hpca,True,5,train,21,0.005479346282828399,0.04346143263680001,0.08818384653287095,2,hpc1_pc9,-0.10817691738488365,4,1.2018,0.088
raw+pca,True,5,train,20,0.005335814155953822,0.04250227931217681,0.08427764227967093,2,pc14,0.0963048220367103,0,1.1967,0.05
kalman+pca,True,5,train,16,0.005116392894329621,0.039107024608701454,0.07509954126629366,1,pc7,-0.09792145321592863,0,1.1751,0.0625
ssa+zca,False,10,train,62,0.069113951089627,0.5876507258664233,2.674285370855454,46,trend__rel6,5.376101241437684,0,1.3582,0.0161
ssa+none,False,10,train,62,0.07307335996639987,0.5573314125366482,2.094264643492214,41,trend__rel6,3.071507466104808,6,1.3582,0.3143
ssa+hpca,False,10,train,23,0.0771501258742222,0.6366016168798573,1.456281975025681,15,trend__minus_di,-1.6546903313497154,7,1.2116,0.1143
ssa+pca,False,10,train,15,0.06903291674353813,0.6289882230033689,1.217548535957593,12,pc11,-1.9052633427672114,0,1.1693,0.0667
signal+demean,True,10,train,62,0.011043632713873937,0.08037537125605257,0.15663553402369393,10,volume__ad_zvel26_52,-0.1717289657957727,7,1.3582,0.3567
kalman+none,True,10,train,62,0.009800676843363752,0.0738768790002336,0.1480145892506091,5,volume__ad_zvel12_26,-0.1726056332912339,8,1.3582,0.3038
raw+none,True,10,train,62,0.009898894806760239,0.07494719153256835,0.14800804732658498,5,volume__ad_zvel12_26,-0.1726056332912339,7,1.3582,0.2998
demean,True,10,train,62,0.009898894806760239,0.07494719153256835,0.14800804732658498,5,volume__ad_zvel12_26,-0.1726056332912339,7,1.3582,0.2899
volnorm_cs,True,10,train,62,0.009898894806760239,0.07494719153256835,0.14800804732658498,5,volume__ad_zvel12_26,-0.1726056332912339,7,1.3582,0.3008
signal+demean+hpca,True,10,train,19,0.00785654030700511,0.06112695656242759,0.12054078957086438,1,hpc1_pc1,-0.16692403095558345,6,1.1915,0.3
kalman+zca,True,10,train,62,0.0051279962861548335,0.04673346601810548,0.11896243080102979,1,trend__acc52_104,-0.16017218895764548,6,1.3582,0.0453
demean+zca,True,10,train,62,0.005121743207022502,0.04600773681975492,0.11754881090742655,1,trend__acc52_104,-0.15846050711659784,6,1.3582,0.0454
raw+zca,True,10,train,62,0.005148976784765991,0.04684699374698316,0.11612664681658733,1,trend__acc52_104,-0.1620619682176206,6,1.3582,0.0453
demean+hpca,True,10,train,22,0.006419656902589916,0.053081378273387964,0.10740058271710311,1,hpc1_pc9,-0.14482675768718153,2,1.2067,0.0833
raw+hpca,True,10,train,21,0.006113109144857283,0.05069331310826608,0.10649726074391644,1,hpc2_pc9,0.14466804670497177,3,1.2018,0.0878
kalman+hpca,True,10,train,21,0.006076399336052403,0.05069071912477512,0.1043234041581184,0,hpc1_pc1,-0.1296497708090111,4,1.2018,0.088
