variant,causal,horizon,split,n_features,mean_abs_ic,mean_abs_icir,top5_mean_abs_icir,n_sig_t2,best_feature,best_icir,n_signal,lam_plus,top_eig_share
raw+pca,True,10,train,20,0.005511574701824175,0.04598862883427799,0.09135582204539239,0,pc1,-0.12588833280209663,0,1.1967,0.05
kalman+pca,True,10,train,16,0.005415425075490884,0.044003513097987994,0.08198941154059594,0,pc1,-0.12502454682238823,0,1.1751,0.0625
ssa+zca,False,21,train,62,0.06134733162276017,0.5398644400666903,2.3490330951274103,36,momentum__rsi_short_position,-3.8718970457757624,0,1.3582,0.0161
ssa+none,False,21,train,62,0.03160073509882703,0.23813455299955938,0.9820421052079812,22,trend__rel6,1.4431573779748357,6,1.3582,0.3143
ssa+hpca,False,21,train,23,0.03994539529729011,0.3387507390350873,0.7706162228521793,13,hpc2_pc6,0.8611650784087576,7,1.2116,0.1143
ssa+pca,False,21,train,15,0.037440755223341386,0.35643803671235486,0.730534587818483,9,pc11,-1.2924628520647043,0,1.1693,0.0667
signal+demean,True,21,train,62,0.015280616215142815,0.11719611525287989,0.2238641432416486,10,trend__acc26_52,-0.23732576587120008,7,1.3582,0.3567
raw+none,True,21,train,62,0.013682507961674315,0.10946746379303555,0.2197860052594796,7,volume__ad_zvel12_26,-0.25157162660689025,7,1.3582,0.2998
kalman+none,True,21,train,62,0.013676961292661228,0.10904257942339918,0.2197860052594796,7,volume__ad_zvel12_26,-0.25157162660689025,8,1.3582,0.3038
demean,True,21,train,62,0.013682507961674315,0.10946746379303555,0.2197860052594796,7,volume__ad_zvel12_26,-0.25157162660689025,7,1.3582,0.2899
volnorm_cs,True,21,train,62,0.013682507961674315,0.10946746379303555,0.2197860052594796,7,volume__ad_zvel12_26,-0.25157162660689025,7,1.3582,0.3008
signal+demean+hpca,True,21,train,19,0.010369742731675608,0.08089781664787636,0.18441312592407139,1,hpc2_pc1,-0.22505445822742068,6,1.1915,0.3
kalman+zca,True,21,train,62,0.006355866916633135,0.060121670586965915,0.16302464440242959,1,trend__acc52_104,-0.2003345826562111,6,1.3582,0.0453
demean+zca,True,21,train,62,0.006306782663862518,0.05896642398788024,0.15843704244982465,0,trend__acc52_104,-0.19299605077123771,6,1.3582,0.0454
raw+zca,True,21,train,62,0.006357120836225639,0.06004812429280991,0.15754807428181494,1,trend__acc52_104,-0.20010320017275846,6,1.3582,0.0453
demean+hpca,True,21,train,22,0.006668800287925028,0.058257654397992714,0.14189002690862113,1,hpc1_pc1,-0.21135226071351487,2,1.2067,0.0833
kalman+hpca,True,21,train,21,0.007070396068087279,0.06254804556474966,0.14160685130220768,1,hpc1_pc1,-0.21224184267298707,4,1.2018,0.088
raw+hpca,True,21,train,21,0.0063525347778585935,0.05592497306940153,0.13989683351648444,1,hpc2_pc1,-0.2130148538706928,3,1.2018,0.0878
raw+pca,True,21,train,20,0.005931042384334584,0.05106544197514793,0.1041002712439338,1,pc1,-0.21088443921304623,0,1.1967,0.05
kalman+pca,True,21,train,16,0.006251185252224701,0.052682034939009144,0.09860676493636067,1,pc1,-0.21063054412678084,0,1.1751,0.0625
ssa+zca,False,63,train,62,0.04128799710947756,0.3971086165671484,1.8701865988333288,20,momentum__rsi_short_position,-3.425251888800264,0,1.3582,0.0161
ssa+none,False,63,train,62,0.025659041117985202,0.19854484598087402,0.6704865464924503,12,trend__rel6,0.9665983690784663,6,1.3582,0.3143
ssa+hpca,False,63,train,23,0.027337609242466716,0.24518680987325353,0.5283629730002495,6,hpc2_pc4,-0.6030154068526062,7,1.2116,0.1143
ssa+pca,False,63,train,15,0.023402832703218506,0.2299444016889178,0.4150532658661363,3,pc11,-0.630216883969246,0,1.1693,0.0667
kalman+zca,True,63,train,62,0.007667745970425986,0.07525004802791635,0.2273696056656042,0,trend__acc26_52,-0.26698550684303785,6,1.3582,0.0453
raw+zca,True,63,train,62,0.007232444615447836,0.07084548018339454,0.21449242688908549,0,trend__acc26_52,-0.2709073580319616,6,1.3582,0.0453
demean+zca,True,63,train,62,0.007226587526516525,0.07021418890369523,0.20349352346056157,0,trend__acc26_52,-0.27289299282977014,6,1.3582,0.0454
signal+demean,True,63,train,62,0.010223137059831067,0.0741614610523385,0.1565534908833278,0,volume__price_zvel12_26,-0.16494402478966513,7,1.3582,0.3567
raw+none,True,63,train,62,0.009333488471991636,0.07106457610719705,0.14984342413647644,0,trend__acc26_52,-0.17489316925885817,7,1.3582,0.2998
kalman+none,True,63,train,62,0.00952750422312811,0.0726546666257331,0.14984342413647644,0,trend__acc26_52,-0.17489316925885817,8,1.3582,0.3038
demean,True,63,train,62,0.009333488471991636,0.07106457610719705,0.14984342413647644,0,trend__acc26_52,-0.17489316925885817,7,1.3582,0.2899
volnorm_cs,True,63,train,62,0.009333488471991636,0.07106457610719705,0.14984342413647644,0,trend__acc26_52,-0.17489316925885817,7,1.3582,0.3008
kalman+hpca,True,63,train,21,0.007455261563327497,0.06850674511715832,0.14606685720085308,0,hpc1_pc9,-0.1819084575161554,4,1.2018,0.088
signal+demean+hpca,True,63,train,19,0.009904650760827133,0.08330841124245858,0.13520131207445593,0,hpc3_pc2,0.1480966758925282,6,1.1915,0.3
demean+hpca,True,63,train,22,0.007511754762840209,0.06873693721792445,0.1266082518453499,0,hpc2_pc6,-0.1600161390748946,2,1.2067,0.0833
raw+hpca,True,63,train,21,0.007196276586398352,0.0656535564917992,0.1228832281649018,0,hpc1_pc6,-0.16173597823627525,3,1.2018,0.0878
raw+pca,True,63,train,20,0.006733717332214203,0.06302361143693617,0.12254924451209173,0,pc19,0.18545482019257178,0,1.1967,0.05
kalman+pca,True,63,train,16,0.0068851958066346855,0.06293190817569888,0.12010522476065803,0,pc16,0.1787301709105836,0,1.1751,0.0625
ssa+none,False,1,val,62,0.06692262336154844,0.4992306997326989,1.2732926452635371,48,trend__acc6_12,1.5579604307213994,6,1.3582,0.3143
ssa+zca,False,1,val,62,0.028030198844370333,0.2626285540206061,0.9879404832223146,34,trend__rel6,1.2076184608972167,0,1.3582,0.0161
ssa+hpca,False,1,val,23,0.04905862030707242,0.40805248877760447,0.9620195814286039,16,hpc1_pc4,1.2461164075073843,7,1.2116,0.1143
ssa+pca,False,1,val,15,0.043418357082950346,0.4011743787870248,0.7856572868335424,11,pc13,1.0258158755035964,0,1.1693,0.0667
kalman+zca,True,1,val,62,0.006925465402425088,0.06525983220826857,0.1845455605045989,7,momentum__rsi_short_position,-0.2122749395882914,6,1.3582,0.0453
demean+zca,True,1,val,62,0.0069119295881611455,0.06400792586383469,0.17674706992969544,9,momentum__rsi_short_position,-0.20016996642924348,6,1.3582,0.0454
raw+zca,True,1,val,62,0.0068000765783238735,0.06372096753666469,0.1735353069140287,9,momentum__rsi_short_position,-0.195483635889044,6,1.3582,0.0453
raw+none,True,1,val,62,0.010386146990967004,0.07184565701078617,0.17067379313832118,8,trend__rel6,-0.1942126920095045,7,1.3582,0.2998
demean,True,1,val,62,0.010386146990967004,0.07184565701078617,0.17067379313832118,8,trend__rel6,-0.1942126920095045,7,1.3582,0.2899
volnorm_cs,True,1,val,62,0.010386146990967004,0.07184565701078617,0.17067379313832118,8,trend__rel6,-0.1942126920095045,7,1.3582,0.3008
signal+demean,True,1,val,62,0.011097511576471004,0.07273051782144907,0.1629200361758705,7,trend__acc6_12,-0.1819219574900748,7,1.3582,0.3567
kalman+none,True,1,val,62,0.009932026009743354,0.06778022294880877,0.15562632060752327,6,trend__rel6,-0.18316320160192956,8,1.3582,0.3038
raw+hpca,True,1,val,21,0.00771897428023879,0.06545225451225595,0.15492144571106425,3,hpc2_pc9,0.203924032403701,3,1.2018,0.0878
demean+hpca,True,1,val,22,0.007827928097337532,0.06596327528193921,0.15068172287119902,4,hpc1_pc9,-0.18435243909788077,2,1.2067,0.0833
raw+pca,True,1,val,20,0.0069687844372481045,0.05928540004090993,0.13922373993396284,2,pc14,0.22965273666744462,0,1.1967,0.05
signal+demean+hpca,True,1,val,19,0.007499803910137834,0.055018678998904176,0.12492052273136749,2,hpc4_pc1,-0.18162142354576422,6,1.1915,0.3
kalman+hpca,True,1,val,21,0.007477559773831598,0.06513934911878605,0.11086845985657283,0,hpc1_pc12,0.12236720963250175,4,1.2018,0.088
kalman+pca,True,1,val,16,0.006804715296500299,0.05780558057783165,0.11055393906256401,2,pc10,-0.1605669784799671,0,1.1751,0.0625
ssa+none,False,5,val,62,0.10397244618361634,0.8304730307651405,2.4328900352855287,43,trend__rel6,3.193736352478723,6,1.3582,0.3143
ssa+zca,False,5,val,62,0.05749680562402505,0.5428751419497231,2.3792447301764463,31,trend__rel6,3.542535314299109,0,1.3582,0.0161
ssa+hpca,False,5,val,23,0.08700684504260235,0.7584134830627839,1.7839712388596727,12,hpc1_pc4,2.328270083223569,7,1.2116,0.1143
ssa+pca,False,5,val,15,0.08219768076259294,0.8111674940963336,1.5483219268313344,11,pc13,2.169411448430837,0,1.1693,0.0667
kalman+zca,True,5,val,62,0.009492958981307061,0.0943622895912901,0.2730157557810612,2,trend__acc52_104,-0.3073351956147841,6,1.3582,0.0453
raw+zca,True,5,val,62,0.009001303146001852,0.0890310569504123,0.24453185202469144,1,trend__acc52_104,-0.310436869615148,6,1.3582,0.0453
demean+zca,True,5,val,62,0.00916907039055727,0.08956783149210125,0.24383576230665494,1,trend__acc52_104,-0.3106085815236662,6,1.3582,0.0454
kalman+none,True,5,val,62,0.01124673046691901,0.08775875694493519,0.23003135236125907,0,candle__skew_log,0.26347883302765474,8,1.3582,0.3038
signal+demean,True,5,val,62,0.011333829176325206,0.0844049229776312,0.2244244189674049,0,trend__acc6_12,-0.2591543938721899,7,1.3582,0.3567
raw+none,True,5,val,62,0.011278722228811872,0.08809708184021109,0.21116504274204678,0,volume__mfi_20_vel4_8,-0.25732859883298637,7,1.3582,0.2998
demean,True,5,val,62,0.011278722228811872,0.08809708184021109,0.21116504274204678,0,volume__mfi_20_vel4_8,-0.25732859883298637,7,1.3582,0.2899
volnorm_cs,True,5,val,62,0.011278722228811872,0.08809708184021109,0.21116504274204678,0,volume__mfi_20_vel4_8,-0.25732859883298637,7,1.3582,0.3008
demean+hpca,True,5,val,22,0.00906641421658933,0.08254529141986522,0.19402194827946934,1,hpc1_pc12,-0.3147828795244387,2,1.2067,0.0833
raw+hpca,True,5,val,21,0.00874701209741294,0.07907532744004692,0.19278191270433093,1,hpc2_pc12,-0.3215515705025509,3,1.2018,0.0878
kalman+hpca,True,5,val,21,0.010592808417039051,0.10011639300860699,0.1921264862606563,1,hpc1_pc11,0.3097774273583921,4,1.2018,0.088
kalman+pca,True,5,val,16,0.009500441689915505,0.0910358509991375,0.1830632170058657,0,pc10,-0.24476848102872126,0,1.1751,0.0625
raw+pca,True,5,val,20,0.009684489681561518,0.09163947979475297,0.16916647500029436,0,pc6,0.20322661821154908,0,1.1967,0.05
signal+demean+hpca,True,5,val,19,0.00883761062202407,0.07027613398572578,0.15675420529041967,0,hpc4_pc1,-0.25850477859252774,6,1.1915,0.3
ssa+zca,False,10,val,62,0.07700747033716784,0.7665332721781324,3.5358125396738713,32,trend__rel6,6.729829304724935,0,1.3582,0.0161
ssa+none,False,10,val,62,0.0833307753260942,0.7176551184222257,2.4216879656395554,33,trend__rel6,3.3440712255491487,6,1.3582,0.3143
ssa+hpca,False,10,val,23,0.0785884992869209,0.6991396284654149,1.5284843367865606,12,trend__minus_di,-1.8767524572724934,7,1.2116,0.1143
ssa+pca,False,10,val,15,0.07128110586679771,0.7247788207057986,1.3751859943562257,10,pc11,-1.9715869362755143,0,1.1693,0.0667
kalman+zca,True,10,val,62,0.011492813975768028,0.11867763845584357,0.35922164174149057,0,trend__acc52_104,-0.39252808400511285,6,1.3582,0.0453
demean+zca,True,10,val,62,0.011200312028210596,0.11568531104674826,0.3517311481976035,0,trend__acc52_104,-0.3866685671708912,6,1.3582,0.0454
raw+zca,True,10,val,62,0.011122769492215296,0.11594028509885737,0.3469269546597181,0,trend__acc52_104,-0.39278249923072944,6,1.3582,0.0453
kalman+none,True,10,val,62,0.013333844261155145,0.11068574760752158,0.2568212380265584,0,candle__skew_log,0.3517602252224847,8,1.3582,0.3038
signal+demean,True,10,val,62,0.01346429646012442,0.10621617937553744,0.24176246658311049,0,trend__acc6_12,-0.26837508867457904,7,1.3582,0.3567
raw+none,True,10,val,62,0.01297854596231499,0.10767077319535942,0.22969131723101216,0,volume__mfi_20_ema16,0.24490631043521152,7,1.3582,0.2998
demean,True,10,val,62,0.01297854596231499,0.10767077319535942,0.22969131723101216,0,volume__mfi_20_ema16,0.24490631043521152,7,1.3582,0.2899
volnorm_cs,True,10,val,62,0.01297854596231499,0.10767077319535942,0.22969131723101216,0,volume__mfi_20_ema16,0.24490631043521152,7,1.3582,0.3008
raw+hpca,True,10,val,21,0.01030081374772148,0.09630046402270749,0.22490759305168861,0,hpc2_pc12,-0.36434545025333304,3,1.2018,0.0878
kalman+hpca,True,10,val,21,0.012641933308272563,0.11943134564984574,0.2181857369216335,0,hpc1_pc10,-0.270935067866326,4,1.2018,0.088
kalman+pca,True,10,val,16,0.01237608952548714,0.1202150917545407,0.214535533152232,0,pc15,0.2954277707434537,0,1.1751,0.0625
raw+pca,True,10,val,20,0.011753083378143453,0.11366318560640425,0.20805799888579127,0,pc18,0.2590352518221702,0,1.1967,0.05
demean+hpca,True,10,val,22,0.010089575475518385,0.09245795602077368,0.20556838747961254,0,hpc1_pc12,-0.3074098113220148,2,1.2067,0.0833
signal+demean+hpca,True,10,val,19,0.010352667719729633,0.08528274543966159,0.17160863502801732,0,hpc4_pc1,-0.25770417950315366,6,1.1915,0.3
ssa+zca,False,21,val,62,0.0695455377380518,0.7199211508421913,3.1058812629173107,26,momentum__rsi_short_position,-5.02278445123377,0,1.3582,0.0161
ssa+none,False,21,val,62,0.05155786882418835,0.505898119494122,1.616188277337613,20,trend__rel6,2.237619243429004,6,1.3582,0.3143
ssa+hpca,False,21,val,23,0.04654989829282191,0.45326389514531545,0.9554689967173751,7,trend__minus_di,-1.2716840038872084,7,1.2116,0.1143
ssa+pca,False,21,val,15,0.04738051954493263,0.5316911547673161,0.9332466891534038,7,pc13,1.2861014779158666,0,1.1693,0.0667
kalman+zca,True,21,val,62,0.014516263915171152,0.1573915842925905,0.4644695465035082,0,volume__mfi_20_ema8,0.5237611404558731,6,1.3582,0.0453
demean+zca,True,21,val,62,0.013543935689793772,0.14692278760269784,0.4615381923728331,0,volume__mfi_20_ema8,0.5196183073731909,6,1.3582,0.0454
raw+zca,True,21,val,62,0.0135711669822534,0.1482794133706932,0.45727905818159326,0,volume__mfi_20_ema8,0.521155144719993,6,1.3582,0.0453
kalman+none,True,21,val,62,0.017736315838936333,0.1720480508422569,0.43758481294753615,0,candle__skew_log,0.4980138845594341,8,1.3582,0.3038
raw+none,True,21,val,62,0.016694860901044776,0.16202087639362334,0.40407112395457495,0,volume__mfi_20_ema8,0.45779076476095143,7,1.3582,0.2998
demean,True,21,val,62,0.016694860901044776,0.16202087639362334,0.40407112395457495,0,volume__mfi_20_ema8,0.45779076476095143,7,1.3582,0.2899
volnorm_cs,True,21,val,62,0.016694860901044776,0.16202087639362334,0.40407112395457495,0,volume__mfi_20_ema8,0.45779076476095143,7,1.3582,0.3008
kalman+hpca,True,21,val,21,0.017109868659304535,0.17864109519983298,0.3237668814636858,0,hpc1_pc10,-0.5193612701723338,4,1.2018,0.088
kalman+pca,True,21,val,16,0.017078306810285257,0.18670883025790824,0.3218829447138993,0,pc15,0.5083474170998908,0,1.1751,0.0625
raw+hpca,True,21,val,21,0.015857340447797234,0.16423537562636342,0.3059841209518658,0,hpc2_pc12,-0.394122612348168,3,1.2018,0.0878
raw+pca,True,21,val,20,0.015428632130693908,0.16632332871048358,0.298309900009574,0,pc18,0.37658232889305077,0,1.1967,0.05
demean+hpca,True,21,val,22,0.013827803964334888,0.1390427995005582,0.29470007054210273,0,hpc1_pc13,-0.4214586305104628,2,1.2067,0.0833
signal+demean,True,21,val,62,0.01812587554297405,0.1705274574636912,0.28655026084947766,0,volume__mfi_20_ema4,0.3007678817193232,7,1.3582,0.3567
signal+demean+hpca,True,21,val,19,0.017328141910436627,0.16861519362400698,0.24178277740450768,0,hpc7_pc1,-0.26583150613469886,6,1.1915,0.3
ssa+zca,False,63,val,62,0.04659710600807845,0.5244605830647578,2.3046192344029564,7,momentum__rsi_short_position,-4.5598196944736715,0,1.3582,0.0161
ssa+hpca,False,63,val,23,0.03855486401465822,0.42442489040067555,1.017869828916837,4,hpc1_pc5,1.1282767042775517,7,1.2116,0.1143
ssa+none,False,63,val,62,0.044333255310418374,0.417237704779044,0.9835509945727996,2,trend__rel6,1.4087860756393922,6,1.3582,0.3143
kalman+none,True,63,val,62,0.03021786860857818,0.2926468166299481,0.7798521227427352,1,candle__skew_log,1.1388492988234384,8,1.3582,0.3038
ssa+pca,False,63,val,15,0.043336884486121156,0.48859673657731695,0.7764963614589279,1,pc11,-1.0026958049107515,0,1.1693,0.0667
raw+none,True,63,val,62,0.027315888325195218,0.2587336498642993,0.6708080980589426,0,volume__ad_zvel26_52,-0.7802443914553635,7,1.3582,0.2998
demean,True,63,val,62,0.027315888325195218,0.2587336498642993,0.6708080980589426,0,volume__ad_zvel26_52,-0.7802443914553635,7,1.3582,0.2899
volnorm_cs,True,63,val,62,0.027315888325195218,0.2587336498642993,0.6708080980589426,0,volume__ad_zvel26_52,-0.7802443914553635,7,1.3582,0.3008
kalman+zca,True,63,val,62,0.019942030176692375,0.23167292946283172,0.6703996962721636,0,candle__skew_log,0.7482593608621223,6,1.3582,0.0453
raw+zca,True,63,val,62,0.017585825298077302,0.20401434156160547,0.599792602245772,0,volume__price_zvel26_52,-0.6910580086743147,6,1.3582,0.0453
demean+zca,True,63,val,62,0.01741983895591022,0.20066371254274926,0.595060210772895,0,volume__price_zvel26_52,-0.6891159889797613,6,1.3582,0.0454
signal+demean,True,63,val,62,0.03145732473189336,0.2868355115140623,0.582754226920928,0,volume__ad_zvel26_52,-0.7680191736651377,7,1.3582,0.3567
kalman+hpca,True,63,val,21,0.02528551070941269,0.27422677238660637,0.5278937613249244,0,hpc1_pc7,-0.5562213511091644,4,1.2018,0.088
signal+demean+hpca,True,63,val,19,0.02951027511018592,0.3093855283718142,0.507583416754054,0,hpc4_pc2,0.5179274642052538,6,1.1915,0.3
kalman+pca,True,63,val,16,0.022655812879774508,0.2383985416529963,0.4695639372937482,0,pc4,-0.6046614390733427,0,1.1751,0.0625
raw+pca,True,63,val,20,0.019477946915844896,0.20283287757200724,0.4657858635957166,0,pc4,-0.6048472705831384,0,1.1967,0.05
demean+hpca,True,63,val,22,0.01962775575875139,0.20609986324891966,0.4540928933029679,0,hpc1_pc14,0.508193548919514,2,1.2067,0.0833
raw+hpca,True,63,val,21,0.019690891260498635,0.20875042496402507,0.4482132748415803,0,hpc2_pc4,-0.5041376361149744,3,1.2018,0.0878
