ticker,sector,beta_global,beta_sector
A,Healthcare,0.582564203836452,0.3326289323265465
AA,Basic Materials,0.5508613818496003,0.3296772889809357
AAOI,Technology,0.3163442229057336,0.36834363987333624
AAON,Industrials,0.4612593869710676,0.3493668158922863
AAP,Consumer Cyclical,0.3940677953563738,0.24690329611796163
AAT,Real Estate,0.6768721233218723,0.3933431628668638
ABBV,Healthcare,0.25438297254446723,0.21000553944295927
ABEO,Healthcare,0.1958913236354293,0.24873283647984043
ACAD,Healthcare,0.31758752768253906,0.3155610760864542
ACHC,Healthcare,0.3361693520157694,0.11947602916718594
ACIW,Technology,0.5930587531439784,0.033035921938033376
ACM,Industrials,0.6587216367463328,0.16868571033246316
ACMR,Technology,0.4289552160104088,0.40991626733681896
ACN,Technology,0.5163018340863065,0.09193438817664569
ADC,Real Estate,0.39063751562148197,0.6544211985629759
ADP,Technology,0.523797027864594,-0.04162200268625931
ADSK,Technology,0.561362714633597,0.30190459972676265
AEHR,Technology,0.39007283061375614,0.3511034410080094
AEM,Basic Materials,0.2621279208408574,0.8394364359612362
AER,Industrials,0.6390521862133878,0.10264877323624937
AES,Utilities,0.4960407246646392,0.26505121688698735
AFG,Financial Services,0.5579035821144552,0.17127307897323374
AFL,Financial Services,0.560262382648117,0.13263199951127438
AGI,Basic Materials,0.25941517908897505,0.8338534558834417
AGO,Financial Services,0.5789755267098384,0.168162748590734
AGX,Industrials,0.30391739975116594,0.3306872647319438
AHRT,Real Estate,0.6449482606844814,0.3424885025228302
AIG,Financial Services,0.6105572082931021,0.15640418323785205
AIR,Industrials,0.6416351402579092,0.2950335607991611
AIV,Real Estate,0.5914398656928439,0.37631445263020497
AJG,Financial Services,0.41332814295856557,-0.08157200856080407
ALB,Basic Materials,0.5276837829547448,0.17278556882487595
ALLT,Technology,0.32614667756957805,0.2144940987191268
ALLY,Financial Services,0.7317416678369902,0.08947090036253381
ALNT,Technology,0.5411422543701068,0.1307529142221409
ALNY,Healthcare,0.2789962883272793,0.4227874192269968
ALRM,Technology,0.5623047738137245,0.23061427902074813
ALSN,Consumer Cyclical,0.5995799603715976,0.004621689630348891
ALV,Consumer Cyclical,0.668338564975112,0.19490051752726784
AMAT,Technology,0.5579300946536797,0.6011072976348558
AMBA,Technology,0.5628089667564762,0.43177962216148524
AMC,Communication Services,0.1944522155984568,0.2969798651721928
AMD,Technology,0.4755320611571091,0.5663736556485599
AMH,Real Estate,0.5377335253281176,0.5207980450151898
AMN,Healthcare,0.35292926998202956,0.04544450383077431
AMPH,Healthcare,0.29431092052686053,0.16868505216607096
AMRN,Healthcare,0.3001348654248046,0.27246387258160676
AMT,Real Estate,0.34574041848427467,0.5344886482978155
AN,Consumer Cyclical,0.6005067619711401,0.29335439969310384
ANAB,Healthcare,0.23967804017210462,0.3505407950106682
ANET,Technology,0.4101373908017033,0.5099286055760721
ANF,Consumer Cyclical,0.41900375502395765,0.3481009272073758
AON,Financial Services,0.3963356377306282,-0.09230096440208878
AORT,Healthcare,0.4253967693779405,0.2170664798108915
AOS,Industrials,0.6299618738789355,0.24467327406665879
APAM,Financial Services,0.7568921245419923,-0.0030827557775873326
APD,Basic Materials,0.4834104004403283,0.07125984845706086
APH,Technology,0.5877298606925464,0.38771830167438776
APO,Financial Services,0.6459172250344478,-0.09834240695623107
APPF,Technology,0.3823107482092237,0.1677674058720142
APPN,Technology,0.3957336481449131,0.3188206559295404
AQN,Utilities,0.41598329210178786,0.4178895528992315
ARCC,Financial Services,0.6335531032349764,-0.12891333855795042
ARE,Real Estate,0.5701204969739225,0.42735753320743797
AROC,Energy,0.5614198200587531,0.5124208474080082
ARR,Real Estate,0.5697389489890026,0.2619603246260916
ASA,Financial Services,0.3088102540646341,-0.26888972098168074
ASB,Financial Services,0.7763052697064305,0.4606275762749566
ASML,Technology,0.5534653884468193,0.5732580781297907
ASND,Healthcare,0.2704004229807246,0.36336717028888715
ASYS,Technology,0.26948862679617935,0.2512282488042086
ATEN,Technology,0.39893233907658193,0.2531757056408515
ATI,Industrials,0.575859056288517,0.27921009266120805
ATNI,Communication Services,0.3218792143850032,-0.16732583848826874
ATR,Healthcare,0.5639955938347953,0.05010698298810485
ATRC,Healthcare,0.4718524260015278,0.2827995356063641
ATRO,Industrials,0.4708466728959378,0.19392184780598534
AUPH,Healthcare,0.2873707681591326,0.33090483924874664
AVA,Utilities,0.3810105223825683,0.6666174328901583
AVB,Real Estate,0.590912933592422,0.5727576465239123
AVGO,Technology,0.4498663876028706,0.5895594143544504
AVNS,Healthcare,0.4370329193700633,0.14630444692793856
AVNT,Basic Materials,0.7892638349101346,0.04925032898611062
AVT,Technology,0.6628031277447213,0.22333530474370789
AWK,Utilities,0.2919638997851532,0.7069977371776182
AXON,Industrials,0.36717503538868995,-0.007246648762530536
AXS,Financial Services,0.48824131191105175,0.15436729762365356
AZN,Healthcare,0.28859911026378915,0.2895667103605126
AZO,Consumer Cyclical,0.3251795486450047,0.08296095458432419
BA,Industrials,0.5636942500320149,0.06753144986736959
BABA,Consumer Cyclical,0.33542178608623746,0.04924309970667833
BAH,Industrials,0.2818005085572211,-0.002269751253647635
BANC,Financial Services,0.7188099461788919,0.4035362081041789
BANF,Financial Services,0.6509806469397768,0.5150497604424528
BAP,Financial Services,0.4389227721449072,-0.07237842353309588
BBAR,Financial Services,0.3303707624382158,-0.09061218398181492
BBD,Financial Services,0.338989921668263,-0.0406625371881369
BBSI,Industrials,0.5056973946528553,-0.07871164034044194
BBW,Consumer Cyclical,0.35951496725913945,0.239743759223882
BBWI,Consumer Cyclical,0.5524165059813603,0.29687263353183363
BCC,Basic Materials,0.6600960613504461,-0.03711185597035856
BEN,Financial Services,0.7218223788874083,0.012320096356791443
BFAM,Consumer Cyclical,0.40115722541102444,0.005218636393234481
BFH,Financial Services,0.6842032157849494,0.17006463605296
BFS,Real Estate,0.6626254629800856,0.3941344600992611
BG,Consumer Defensive,0.3918449409171886,0.12896713710318544
BGS,Consumer Defensive,0.23532464945418086,0.33414610031903264
BHC,Healthcare,0.38092715719628695,0.16988793214784637
BHE,Technology,0.6005811007932959,0.25580740319872103
BHF,Financial Services,0.6303433795408803,0.131635052430806
BIDU,Communication Services,0.34975862153273557,0.5148357118086466
BKD,Healthcare,0.39215185621082055,0.06550172461648147
BKH,Utilities,0.44682916334217215,0.682985902670012
BKNG,Consumer Cyclical,0.5570740910784657,0.07097230724876126
BLBD,Industrials,0.4055867982535694,0.12012522345363215
BLDR,Industrials,0.6549398744252349,0.17894922124630191
BLK,Financial Services,0.7529099445623572,-0.09655092784077171
BLMN,Consumer Cyclical,0.5084987838698002,0.2528797978829411
BLX,Financial Services,0.566490593153548,0.15787631726086235
BMA,Financial Services,0.3438737987279923,-0.09651003134009381
BMO,Financial Services,0.7082048211052352,0.019046969178834798
BMRN,Healthcare,0.37015050325854615,0.4203727295449961
BN,Financial Services,0.7806612611264191,-0.1263344563010887
BNS,Financial Services,0.6538321631285715,-0.017409478911400527
BNY,Financial Services,0.6837537343051757,0.11810730687089833
BOH,Financial Services,0.690441075894498,0.46798080812020365
BOX,Technology,0.372371735828615,0.14541778558906904
BPOP,Financial Services,0.7287703674723124,0.39740387326901944
BRK-B,Financial Services,0.6397342753963403,0.035834571938207896
BRO,Financial Services,0.4402288247128524,-0.07639267210350728
BRSL,Consumer Cyclical,0.6018527030925146,0.100568667489551
BTG,Basic Materials,0.30309658211471824,0.7885926675061075
BTI,Consumer Defensive,0.3205025765686551,0.3313513841310102
BUD,Consumer Defensive,0.45552516464852766,0.3358418804571815
BUSE,Financial Services,0.7351438347249895,0.5484063526337917
BWXT,Industrials,0.43760769945156197,0.38416759115295884
BXC,Industrials,0.6428437834585943,0.15978023998974364
BY,Financial Services,0.7068015874189308,0.5038332029996752
CACC,Financial Services,0.5460395123946796,-0.03324419436929638
CACI,Technology,0.328550520866232,-0.07206645176354588
CAG,Consumer Defensive,0.235690907302801,0.7533801373917265
CAKE,Consumer Cyclical,0.5515968652018033,0.26208987069935125
CALX,Technology,0.5079802365084628,0.2840600492841731
CALY,Consumer Cyclical,0.5618481143899927,0.2586980414976898
CAMT,Technology,0.44526746001635403,0.5818480269467299
CARG,Consumer Cyclical,0.49027208146128065,0.14990250750304543
CARS,Communication Services,0.5502689749245693,0.21733269549944434
CAT,Industrials,0.6415052164897541,0.4182545195281686
CBU,Financial Services,0.7060575229622879,0.5304940979173468
CBZ,Industrials,0.43525138896421867,-0.19183715855338482
CCEP,Consumer Defensive,0.4648976817365301,0.3113055595330031
CCJ,Energy,0.40533184022274565,0.2543780508199974
CCOI,Communication Services,0.3311934031885301,0.016189191770383624
CCRN,Healthcare,0.28977346028279566,-0.0018013589696746683
CCS,Real Estate,0.6443672366115974,0.035743196360284724
CDNA,Healthcare,0.37248604470852537,0.38646135624073047
CDW,Technology,0.5730615834183628,0.19861142628016568
CECO,Industrials,0.4120241523607757,0.20266147840686036
CELH,Consumer Defensive,0.3785907687575537,0.04261674650986752
CET,Financial Services,0.7733285412138343,-0.1621105032978541
CEVA,Technology,0.5439667812551696,0.5118468765816488
CFFN,Financial Services,0.6199710430190547,0.49355524672233564
CGAU,Basic Materials,0.27275838451674994,0.6752940503159894
CGC,Healthcare,0.3073334918505347,0.15727685772910696
CHCT,Real Estate,0.48491555862284674,0.4084512404530047
CHD,Consumer Defensive,0.16566170441934963,0.6408459417526788
CHDN,Consumer Cyclical,0.5750991594312602,0.07894694235498984
CHKP,Technology,0.29892550970193577,0.07363655528923459
CHRW,Industrials,0.40361058514263704,0.08025651627654456
CHT,Communication Services,0.2808680725540147,0.05129238115368628
CI,Healthcare,0.2793812283074585,-0.008728468046255756
CIA,Financial Services,0.23442976115330502,0.005136701961576052
CIEN,Technology,0.43044791723664183,0.4420089290276216
CIVB,Financial Services,0.5833277721442144,0.4382647996270421
CL,Consumer Defensive,0.20988099411700437,0.665522631366585
CLDX,Healthcare,0.38460411762087293,0.4183181334748651
CLF,Basic Materials,0.5164075014791955,0.22048078861889336
CLFD,Technology,0.491824632301234,0.2654889654144882
CLS,Technology,0.4302416442937236,0.4671318780589388
CMBT,Energy,0.26546194633541675,0.32399761965984925
CME,Financial Services,0.200721631978983,-0.04605427560945023
CMG,Consumer Cyclical,0.4444734360511844,0.18444081017996397
CMP,Basic Materials,0.47233087709758265,0.18223133168254285
CNA,Financial Services,0.5417130502403626,0.18925492121492826
CNC,Healthcare,0.18537886412193294,0.09981794911785875
CNH,Industrials,0.6523368195612105,0.2177461586014711
CNI,Industrials,0.5899067477943254,0.0816648337552935
CNK,Communication Services,0.4037950700426929,0.24507691502047388
CNOB,Financial Services,0.7074310376354148,0.5091962724137126
CNS,Financial Services,0.7326906919210793,0.05936719684588787
CNXN,Technology,0.5312001021773791,0.05191042760736019
CODI,Industrials,0.31753534082103,-0.0621258842673771
COKE,Consumer Defensive,0.30644567438571757,0.2785189080537126
COLB,Financial Services,0.6935530038784472,0.4389668834541089
CORT,Healthcare,0.24278858317360583,0.19915439575898555
COTY,Consumer Defensive,0.5372833185893978,0.08773277978206921
CPB,Consumer Defensive,0.14494096731779027,0.7289078539634438
CQP,Energy,0.3540315586512301,0.4440376465508987
CRAI,Industrials,0.4356016100159876,-0.011225737879757215
CRMD,Healthcare,0.2207356676794068,0.25122144823545195
CRS,Industrials,0.5954888370712453,0.26654114592456385
CRUS,Technology,0.5345163507043512,0.39814815889603333
CRVS,Healthcare,0.21279787882318082,0.2939078598852447
CSGP,Real Estate,0.4638251698165566,0.06619452175996128
CSL,Industrials,0.6300525343844745,0.23973518654841983
CSR,Real Estate,0.4943228352987026,0.502072284454394
CSW,Industrials,0.6183856597136884,0.31202967304846907
CSWC,Financial Services,0.5537177047976616,-0.09153684977372165
CTBI,Financial Services,0.6661911878164889,0.5860478027925299
CTRE,Real Estate,0.4125403109486175,0.504069642211728
CUBI,Financial Services,0.6643114453672203,0.36052134430796823
CUZ,Real Estate,0.6963280489159585,0.3943631392514333
CVBF,Financial Services,0.6570780209271287,0.5873788718149594
CVEO,Consumer Cyclical,0.40293273710419397,-0.08465971207444083
CVS,Healthcare,0.29170162413324885,-0.016315590709781738
CWEN,Utilities,0.4607104044356054,0.3949117992572057
CWH,Consumer Cyclical,0.5976967730607917,0.265258582584517
CYD,Consumer Cyclical,0.23101101292428422,-0.049053771006017696
CYRX,Industrials,0.4534236646427103,-0.026678773541523742
CZNC,Financial Services,0.5265747360950712,0.42368802172235104
CZR,Consumer Cyclical,0.681831097277083,0.16753444438973047
D,Utilities,0.3305286492955074,0.7199080199735921
DAKT,Technology,0.3783303678421623,0.08022743465306174
DAR,Consumer Defensive,0.5307921361003806,-0.017131605342258622
DBI,Consumer Cyclical,0.4817467118179658,0.2613852134148663
DBVT,Healthcare,0.08877114265221511,0.07575802849650343
DCH,Consumer Cyclical,0.6289282633291263,0.16237819183603552
DCO,Industrials,0.5792950920814884,0.21320529194483628
DCOM,Financial Services,0.6808166504289762,0.49133395063786434
DEA,Real Estate,0.5513711550210317,0.46210085502150106
DECK,Consumer Cyclical,0.5097279156086032,0.32786839353591285
DHC,Real Estate,0.45748669584679114,0.23549102605695793
DIOD,Technology,0.6357158373865808,0.43968718184962907
DK,Energy,0.3617463283998987,0.5680058653941068
DKS,Consumer Cyclical,0.5248194365829008,0.3787441422328779
DLB,Industrials,0.5374972557347407,-0.054725120820402394
DMLP,Energy,0.302421715455886,0.5656085636229697
