representation,horizon,top5_mean_abs_icir,mean_abs_icir,n_sig_t2
base,5,0.08766677079244631,0.05210262792570827,2.0
base,21,0.14138743295863873,0.07453534658879228,0.0
global_removed,5,0.1671870092770103,0.08108622351606547,30.0
global_removed,21,0.3105834206932145,0.12872173414964597,22.0
sector_removed,5,0.2190508267026679,0.10183994386803308,37.0
sector_removed,21,0.4278186051083768,0.14856412877939837,22.0
