representation,horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
base,1,candle__body_log,-0.01259725347996367,0.15802377738497136,-0.07971745574259204,2551,2551.0,-4.026323432790016,5.830884024729768e-05
base,1,trend__rel_12,-0.012473142858134799,0.1783660020637943,-0.06993004672310624,2551,2551.0,-3.5319866038688534,0.0004197691243546161
base,1,candle__skew_log,0.008536040739325944,0.13127834395686097,0.06502245901373459,2551,2551.0,3.284116984741533,0.001036854338230009
base,1,volatility__vol7,-0.012394009730495191,0.19551943566088897,-0.0633901672670102,2551,2551.0,-3.2016741314446637,0.0013831228221520186
base,1,volatility__vol_park7,-0.012828801058137372,0.2105191109874338,-0.06093889052620568,2551,2551.0,-3.0778664548220753,0.002107057306540443
base,1,volatility__vol_rs7,-0.01226254831253263,0.20753177108525037,-0.05908757125912732,2551,2551.0,-2.98436108542491,0.0028687012239813946
base,1,volatility__vol20,-0.012406960850626541,0.2175661456945046,-0.057026155475713436,2551,2551.0,-2.8802442819448415,0.00400682656783597
base,1,volatility__vol_rs20,-0.012266490471924496,0.21588041065304886,-0.05682076680703802,2551,2551.0,-2.8698706291254688,0.004140213724818891
base,1,volatility__vol_park20,-0.01243381449681905,0.21938253609766484,-0.05667640969964792,2551,2551.0,-2.8625795233223514,0.004236363601362356
base,1,volatility__vol_rs100,-0.012252949412897347,0.21995325750803257,-0.05570706045328688,2551,2551.0,-2.813620188772296,0.004936252746572241
base,1,volatility__vol_park100,-0.012286801716039464,0.2236585895711436,-0.05493552355668036,2551,2551.0,-2.7746518466804497,0.005566354327205764
base,1,volatility__atr_norm,-0.012329056795998458,0.2294927305592499,-0.053723082059958197,2551,2551.0,-2.7134145484793835,0.006704154221090576
base,1,volatility__vol100,-0.012355538223384227,0.2315149186649724,-0.05336821615916706,2551,2551.0,-2.695491185540316,0.007074643683396399
base,1,trend__velocity_52/104,0.011000362663051495,0.20809093665244804,0.05286324738604171,2551,2551.0,2.6699865130050195,0.007633565958029525
base,1,candle__range_log,-0.009569325206974216,0.18590950182043517,-0.05147302915273777,2551,2551.0,-2.599770169579336,0.009382440294265415
base,1,volatility__bb_bandwidth,-0.009356344780438189,0.18656401475877168,-0.05015085461435848,2551,2551.0,-2.5329905379851656,0.011368880195652338
base,1,trend__rel_26,-0.008841394280864917,0.18258618918038677,-0.04842312729431045,2551,2551.0,-2.445727479607549,0.014523193237617341
base,1,momentum__willr_short_velocity,-0.007014103182857228,0.14869846985470417,-0.04716997551965955,2551,2551.0,-2.3824340100892596,0.01727150286759191
base,1,momentum__willr_short_raw,-0.007577771040042276,0.16249051700981057,-0.046635158651041515,2551,2551.0,-2.3554217871036025,0.018577039261775157
base,1,volume__ad_zvel12_26,-0.0056086562812328105,0.12234103623140255,-0.045844439887073464,2551,2551.0,-2.315484618280861,0.02066541477231327
base,1,trend__plus_di,-0.00652444591622187,0.15057642886849085,-0.043329795807019275,2551,2551.0,-2.1884764205112055,0.02872534025400154
base,1,trend__acceleration_26/52,-0.007053913295806377,0.17592029194818273,-0.04009721230956179,2551,2551.0,-2.025206951321293,0.04295010396909224
base,1,trend__acceleration_12/26,-0.006834134284604795,0.17160112599458574,-0.03982569604362865,2551,2551.0,-2.011493363829988,0.04437839726062151
base,1,trend__acceleration_52/104,-0.00696837927837035,0.18045184029493228,-0.038616282698924885,2551,2551.0,-1.950409009790475,0.05123680717453728
base,1,momentum__willr_long_velocity,-0.005871701227722076,0.1527329342205661,-0.03844423769952969,2551,2551.0,-1.941719459853056,0.052281079419275574
base,1,momentum__cci_short_velocity,-0.005598713121049945,0.14996029395240035,-0.03733463687945998,2551,2551.0,-1.885676379435191,0.05945215267809002
base,1,momentum__cci_short_raw,-0.006010140622427648,0.16125092432665603,-0.037271976253931624,2551,2551.0,-1.8825115525785392,0.059880356356484386
base,1,trend__minus_di,0.005942223771953521,0.15984760189610145,0.037174306661265255,2551,2551.0,1.8775785129329507,0.060552902193451864
base,1,volume__obv_zvel26_52,-0.004598888001803216,0.12601891794473719,-0.036493631883269755,2551,2551.0,-1.8431993825000645,0.06541588985851149
base,1,momentum__willr_short_acceleration,-0.004986006033739551,0.14276926112442714,-0.03492352621615179,2551,2551.0,-1.7638973879671926,0.07786898183919361
base,1,volume__price_zvel26_52,-0.005346934795354037,0.1550137247023523,-0.034493299258635896,2551,2551.0,-1.742167732092856,0.08159966240825031
base,1,momentum__rsi_long_velocity,-0.005059837774286823,0.1489891024667447,-0.03396112662277572,2551,2551.0,-1.7152890624954187,0.08641372712749183
base,1,volume__ad_zvel26_52,-0.003990397831199091,0.12252167989837788,-0.03256891216729001,2551,2551.0,-1.644971895027213,0.10009885909766858
base,1,momentum__cmf_short_velocity,-0.003998424508080707,0.12414654470989414,-0.03220729596159307,2551,2551.0,-1.6267075915680616,0.10392277005191927
base,1,volume__obv_zvel12_26,-0.004076575562810063,0.127356797191327,-0.03200909297904107,2551,2551.0,-1.6166968692530541,0.10606742207906791
base,1,momentum__cmf_long_velocity,-0.003723002437357563,0.12232027510412007,-0.030436511315793814,2551,2551.0,-1.537269818530895,0.12435131444749117
base,1,momentum__willr_long_acceleration,-0.004320404328917683,0.14283811505843988,-0.03024685902043765,2551,2551.0,-1.5276909694098113,0.12671330626836036
base,1,momentum__willr_long_raw,-0.004933852655163261,0.16810945297494473,-0.02934904949038535,2551,2551.0,-1.4823449217298126,0.13837210626154278
