ticker,shift,sector,cap_bucket,market_cap
CARS,0,Communication Services,small,600960000.0
CAT,0,Industrials,large,459430000000.0
CBU,0,Financial Services,mid,3550000000.0
CBZ,0,Industrials,small,1650000000.0
CCEP,0,Consumer Defensive,large,44640000000.0
CCJ,0,Energy,large,45060000000.0
CCOI,0,Communication Services,small,640600000.0
CCRN,0,Healthcare,small,409930000.0
CCS,0,Real Estate,small,2069999999.9999998
CDNA,0,Healthcare,small,1490000000.0
CDW,0,Technology,large,17030000000.000002
CECO,0,Industrials,mid,5370000000.0
CELH,0,Consumer Defensive,mid,7630000000.0
CET,0,Financial Services,small,1530000000.0
CEVA,0,Technology,small,1180000000.0
CFFN,0,Financial Services,small,1050000000.0
CGAU,0,Basic Materials,mid,3140000000.0
CGC,0,Healthcare,small,392750000.0
CHCT,0,Real Estate,small,494890000.0
CHD,-6,Consumer Defensive,large,23590000000.0
CHDN,0,Consumer Cyclical,mid,6200000000.0
CHKP,0,Technology,large,13530000000.0
CHRW,0,Industrials,large,21140000000.0
CHT,0,Communication Services,large,34800000000.0
CI,0,Healthcare,large,74810000000.0
CIA,0,Financial Services,small,322530000.0
CIEN,0,Technology,large,67870000000.00001
CIVB,0,Financial Services,small,595860000.0
CL,0,Consumer Defensive,large,73670000000.0
CLDX,0,Healthcare,mid,2770000000.0
CLF,0,Basic Materials,mid,5680000000.0
CLFD,0,Technology,small,524960000.00000006
CLS,0,Technology,large,41490000000.0
CMBT,0,Energy,mid,4139999999.9999995
CME,0,Financial Services,large,80080000000.0
CMG,0,Consumer Cyclical,large,42770000000.0
CMP,0,Basic Materials,small,1300000000.0
CNA,0,Financial Services,large,13080000000.0
CNC,0,Healthcare,large,32460000000.0
CNH,0,Industrials,large,13680000000.0
CNI,0,Industrials,large,73230000000.0
CNK,0,Communication Services,mid,3860000000.0
CNOB,0,Financial Services,small,1670000000.0
CNS,0,Financial Services,mid,4030000000.0000005
CNXN,0,Technology,small,1800000000.0
CODI,0,Industrials,small,783210000.0
COKE,0,Consumer Defensive,large,12520000000.0
COLB,0,Financial Services,mid,9310000000.0
CORT,0,Healthcare,mid,9370000000.0
COTY,0,Consumer Defensive,small,1690000000.0
CPB,-7,Consumer Defensive,mid,6780000000.0
CQP,0,Energy,large,29300000000.0
CRAI,0,Industrials,small,947870000.0
CRMD,0,Healthcare,small,615850000.0
CRS,0,Industrials,large,29400000000.0
CRUS,0,Technology,mid,7410000000.0
CRVS,0,Healthcare,small,1130000000.0
CSGP,0,Real Estate,large,12350000000.0
CSL,0,Industrials,large,15680000000.0
CSR,0,Real Estate,small,1010000000.0
CSW,0,Industrials,mid,4610000000.0
CSWC,0,Financial Services,small,1440000000.0
CTBI,0,Financial Services,small,1310000000.0
CTRE,0,Real Estate,mid,9650000000.0
CUBI,0,Financial Services,mid,2740000000.0
CUZ,0,Real Estate,mid,4930000000.0
CVBF,0,Financial Services,mid,3960000000.0
CVEO,0,Consumer Cyclical,small,370100000.0
CVS,0,Healthcare,large,133130000000.0
CWEN,0,Utilities,mid,7570000000.0
CWH,0,Consumer Cyclical,small,785960000.0
CYD,0,Consumer Cyclical,small,1680000000.0
CYRX,0,Industrials,small,806440000.0
CZNC,0,Financial Services,small,420860000.0
CZR,0,Consumer Cyclical,mid,6150000000.0
D,0,Utilities,large,61030000000.0
DAKT,0,Technology,small,943000000.0
DAR,0,Consumer Defensive,mid,8340000000.0
DBI,0,Consumer Cyclical,small,316850000.0
DBVT,0,Healthcare,small,969960000.0
DCH,0,Consumer Cyclical,small,1290000000.0
DCO,0,Industrials,mid,2680000000.0
DCOM,0,Financial Services,small,1790000000.0
DEA,0,Real Estate,small,1280000000.0
DECK,0,Consumer Cyclical,large,14520000000.0
DHC,0,Real Estate,small,2300000000.0
DIOD,0,Technology,mid,4780000000.0
DK,0,Energy,mid,2930000000.0
DKS,0,Consumer Cyclical,large,21410000000.0
DLB,0,Industrials,mid,5060000000.0
DMLP,0,Energy,small,1240000000.0
DNN,0,Energy,mid,2800000000.0
DOC,0,Real Estate,large,15140000000.0
DORM,0,Consumer Cyclical,mid,4019999999.9999995
DQ,-1,Technology,small,868830000.0
DRD,0,Basic Materials,small,1850000000.0
DRH,0,Real Estate,mid,2560000000.0
DSGX,0,Technology,mid,5710000000.0
DVA,0,Healthcare,large,13930000000.0
DXPE,0,Industrials,mid,2530000000.0
EBS,0,Healthcare,small,440120000.0
ECC,0,Financial Services,small,489170000.0
ECL,0,Basic Materials,large,79830000000.0
ED,0,Utilities,large,41300000000.0
EEX,0,Communication Services,small,991530000.0
EFOR,0,Technology,small,804010000.0
EGBN,0,Financial Services,small,888340000.0
EGP,0,Real Estate,mid,11130000000.0
EIX,0,Utilities,large,29120000000.0
EMBJ,0,Industrials,mid,11130000000.0
EMR,0,Industrials,large,80370000000.0
