ticker,shift,sector,cap_bucket,market_cap
RCKY,0,Consumer Cyclical,small,311310000.0
RIOT,0,Financial Services,large,10800000000.0
RLJ,0,Real Estate,small,1810000000.0
RNG,0,Technology,mid,3120000000.0
RYTM,0,Healthcare,large,7530000000.0
SBR,0,Energy,small,1070000000.0000001
SBS,0,Utilities,large,19550000000.0
SBUX,0,Consumer Cyclical,large,119210000000.0
SCHL,0,Communication Services,small,979470000.0
SIGI,0,Financial Services,mid,5770000000.0
SKM,0,Communication Services,large,12580000000.0
SLG,0,Real Estate,mid,4019999999.9999995
SLRC,0,Financial Services,small,677840000.0
SMCI,0,Technology,large,19810000000.0
SMFG,0,Financial Services,large,150680000000.0
SNAP,0,Communication Services,mid,7310000000.0
STBA,0,Financial Services,small,1770000000.0
SU,0,Energy,large,63600000000.0
SUPN,0,Healthcare,mid,2720000000.0
SVM,0,Basic Materials,mid,2350000000.0
SWX,0,Utilities,mid,6580000000.0
TBPH,0,Healthcare,small,908880000.0
TDAY,0,Communication Services,small,1220000000.0
TDC,0,Technology,mid,3090000000.0
TFSL,0,Financial Services,mid,4880000000.0
TGB,0,Basic Materials,mid,2400000000.0
TOWN,0,Financial Services,mid,3320000000.0
TRMK,0,Financial Services,mid,2730000000.0
TSLX,0,Financial Services,small,1600000000.0
UA,0,Consumer Cyclical,mid,2640000000.0
UAN,0,Basic Materials,small,1160000000.0
UBS,0,Financial Services,large,150330000000.0
UFPT,0,Healthcare,mid,2009999999.9999998
UHAL,0,Industrials,large,13150000000.0
URI,0,Industrials,large,70270000000.0
UTL,0,Utilities,small,968270000.0
UUUU,0,Energy,mid,3610000000.0
VKTX,0,Healthcare,mid,4420000000.0
VLO,0,Energy,large,77020000000.0
VLY,0,Financial Services,large,8160000000.0
VMC,0,Basic Materials,large,40400000000.0
VSAT,0,Technology,large,8460000000.000001
VSTM,0,Healthcare,small,332160000.0
WBD,0,Communication Services,large,67030000000.0
WBS,0,Financial Services,large,12250000000.0
WEN,0,Consumer Cyclical,small,1490000000.0
WINA,0,Consumer Cyclical,small,1500000000.0
WLK,0,Basic Materials,large,9820000000.0
WLY,0,Communication Services,mid,2450000000.0
WNC,0,Industrials,small,571470000.0
WSBC,0,Financial Services,mid,3730000000.0
WSM,0,Consumer Cyclical,large,28160000000.0
XIFR,0,Utilities,small,1130000000.0
ZD,0,Communication Services,small,1860000000.0
