i,j,c0,c_best,best_lag,gain
0,1,0.19893808405270944,0.19893808405270944,0,0.0
0,2,0.24746896645013128,0.24746896645013128,0,0.0
0,3,0.30228873208581225,0.30228873208581225,0,0.0
0,4,0.10122056129526127,0.10122056129526127,0,0.0
0,5,0.26374448839765585,0.26374448839765585,0,0.0
0,6,0.3938571751195139,0.3938571751195139,0,0.0
0,7,0.3012542483506858,0.3012542483506858,0,0.0
0,8,0.3434153149970306,0.3434153149970306,0,0.0
0,9,0.29553534912462437,0.29553534912462437,0,0.0
0,10,0.20656932386951618,0.20656932386951618,0,0.0
0,11,0.29342206127449283,0.29342206127449283,0,0.0
0,12,0.16274660013375403,0.16274660013375403,0,0.0
0,13,0.3116434297787103,0.3116434297787103,0,0.0
0,14,0.2154412701711431,0.2154412701711431,0,0.0
0,15,0.37632047325814216,0.37632047325814216,0,0.0
0,16,0.1754258945321834,0.1754258945321834,0,0.0
0,17,0.400268592414582,0.400268592414582,0,0.0
0,18,0.36786377365321127,0.36786377365321127,0,0.0
0,19,0.1431574499825261,0.1431574499825261,0,0.0
0,20,0.20869444224599817,0.20869444224599817,0,0.0
0,21,0.29104375282161293,0.29104375282161293,0,0.0
0,22,0.3117490906441206,0.3117490906441206,0,0.0
0,23,0.12174364910398619,0.12174364910398619,0,0.0
0,24,0.33628214557140956,0.33628214557140956,0,0.0
0,25,0.400718414434067,0.400718414434067,0,0.0
0,26,0.20202898089733398,0.20202898089733398,0,0.0
0,27,0.3427851767626786,0.3427851767626786,0,0.0
0,28,0.20278064614554248,0.20278064614554248,0,0.0
0,29,0.41460801060956615,0.41460801060956615,0,0.0
0,30,0.3695227696792312,0.3695227696792312,0,0.0
0,31,0.3385570439119406,0.3385570439119406,0,0.0
0,32,0.2731210162175645,0.2731210162175645,0,0.0
0,33,0.32706924385077996,0.32706924385077996,0,0.0
0,34,0.30703614424798614,0.30703614424798614,0,0.0
0,35,0.26350720047105197,0.26350720047105197,0,0.0
0,36,0.48404089598223454,0.48404089598223454,0,0.0
0,37,0.32001266598851447,0.32001266598851447,0,0.0
0,38,0.14893230579387454,0.14893230579387454,0,0.0
0,39,0.15880631280788882,0.15880631280788882,0,0.0
