representation,n_features,n_signal,top_eig_share,lambda_plus,within_raw,across_raw,within_denoised,across_denoised,k_auto,ari_vs_taxonomy
base,71,70,0.3421818591969127,-9.177520352853239e-16,0.49119627941191235,0.19678597604420175,0.4911962794119126,0.19678597604420184,2,0.34303898815254735
global_removed,71,70,0.33626342584655683,-9.522280522641041e-15,0.46330016852055034,0.18531670042777396,0.4633001685205502,0.18531670042777384,2,0.34303898815254735
sector_removed,71,70,0.31551725295389293,-3.628303798068022e-15,0.4323225683451645,0.16473958877068712,0.4323225683451648,0.1647395887706873,2,0.34303898815254735
