representation,n_features,n_signal,top_eig_share,lambda_plus,within_raw,across_raw,within_denoised,across_denoised,k_auto,ari_vs_taxonomy
base,65,62,0.32008304851348524,0.002868775143770846,0.47495909366592565,0.1871308898199531,0.4749592644697459,0.1871280145602463,2,0.31910537222492835
global_removed,65,64,0.31473614554895274,0.0010979676902944946,0.4430306322166649,0.17696793153482526,0.44303063221666467,0.17696793153482518,2,0.31910537222492835
sector_removed,65,64,0.3066832223440931,0.0015622567298274276,0.42878356669494194,0.16755890515107863,0.42878356669494194,0.16755890515107852,2,0.31910537222492835
